date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
04/04/2019 16.45.00,2095,575,210,35,15,10,10,3,0,0,0,0,0,0,0
04/04/2019 16.46.00,2145,595,245,75,50,25,20,8,1,0,0,0,0,0,0
04/04/2019 16.47.00,2035,560,195,80,50,30,15,6,0,0,0,0,0,0,0
04/04/2019 16.48.00,2030,585,155,35,25,15,5,3,0,0,0,0,0,0,0
04/04/2019 16.49.00,2145,530,160,40,15,15,10,5,2,1,1,1,1,0,0
04/04/2019 16.50.00,2356,570,165,50,40,25,15,7,1,0,0,0,0,0,0
04/04/2019 16.51.00,2431,700,215,40,10,10,5,4,1,1,1,1,0,0,0
04/04/2019 16.52.00,2316,695,240,90,50,40,25,10,4,4,4,2,1,0,0
04/04/2019 16.53.00,2331,680,225,75,35,35,25,13,2,2,1,1,0,0,0
04/04/2019 16.54.00,2381,680,215,70,40,35,30,15,3,3,1,1,0,0,0
04/04/2019 16.55.00,2576,705,215,75,45,40,30,15,9,7,4,4,3,1,0
04/04/2019 16.56.00,3201,1035,460,180,125,115,80,49,35,26,21,16,10,3,1
04/04/2019 16.57.00,2506,775,290,125,85,75,55,24,7,7,6,6,1,0,0
04/04/2019 16.58.00,2561,825,320,205,150,130,80,59,45,37,24,15,9,2,2
04/04/2019 16.59.00,2606,815,285,100,75,65,45,31,18,14,9,7,3,1,0
04/04/2019 17.00.00,2526,805,310,130,105,105,85,47,28,20,13,8,8,4,0
04/04/2019 17.01.00,2496,725,285,125,85,70,60,29,10,6,6,5,5,2,1
04/04/2019 17.02.00,2621,710,290,115,80,70,45,21,10,10,8,6,4,0,0
04/04/2019 17.03.00,2536,760,285,95,75,65,60,40,29,24,19,10,4,0,0
04/04/2019 17.04.00,2621,680,285,115,70,60,45,26,13,11,8,7,4,1,0
04/04/2019 17.05.00,2766,760,270,80,35,15,5,3,0,0,0,0,0,0,0
04/04/2019 17.06.00,2736,750,215,80,70,50,35,23,12,10,9,3,1,1,1
04/04/2019 17.07.00,2861,790,340,165,95,70,60,31,13,9,7,5,3,0,0
04/04/2019 17.08.00,2856,770,275,120,95,90,60,43,19,9,6,4,2,0,0
04/04/2019 17.09.00,2916,820,265,85,70,55,40,27,9,5,3,3,2,0,0
04/04/2019 17.10.00,2986,785,215,95,60,50,40,21,8,6,2,1,1,0,0
04/04/2019 17.11.00,2851,785,270,100,70,55,30,19,8,6,6,5,2,0,0
04/04/2019 17.12.00,2826,695,300,80,50,30,15,8,5,3,1,1,0,0,0
04/04/2019 17.13.00,2871,875,295,100,70,60,45,30,7,6,5,2,0,0,0
04/04/2019 17.14.00,2771,790,310,105,30,30,25,17,12,10,9,6,4,0,0
04/04/2019 17.15.00,2881,790,300,130,90,80,45,29,10,7,6,4,4,0,0
04/04/2019 17.16.00,2911,850,265,110,85,75,65,35,12,7,5,3,3,0,0
04/04/2019 17.17.00,2856,680,215,45,30,15,10,5,3,2,1,1,1,0,0
04/04/2019 17.18.00,3236,990,380,160,115,100,90,36,11,7,6,6,3,2,1
04/04/2019 17.19.00,2671,715,280,100,75,60,45,31,16,13,9,6,4,1,0
04/04/2019 17.20.00,2876,890,325,130,75,70,45,21,10,10,6,3,3,0,0
04/04/2019 17.21.00,2786,705,300,80,50,40,20,15,8,6,5,4,2,0,0
04/04/2019 17.22.00,2991,865,340,165,115,105,70,36,14,8,7,7,3,1,0
04/04/2019 17.23.00,2716,755,320,145,115,100,70,39,15,15,11,7,3,1,1
04/04/2019 17.24.00,2806,690,290,130,80,55,25,19,12,6,4,3,2,0,0
04/04/2019 17.25.00,2776,810,290,130,90,65,60,30,15,12,8,5,5,0,0
04/04/2019 17.26.00,2996,820,250,105,65,55,35,24,11,9,6,2,1,0,0
