Software ver: OPC-N3 Alphasense 1.0.6457.18465
Device SerNo,OPC-N3 177470016                                            
InfoString,OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
Laser digital pot setting,145
Fan digital pot setting,255
ToF to SFR factor,56
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin23 (upper boundary)
Bin low boundary (ADC o/p),14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Bin low boundary (particle diameter [um]),0.35,0.46,0.66,1.00,1.30,1.70,2.30,3.00,4.00,5.20,6.50,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,25.00,28.00,31.00,34.00,37.00,40.00
Bin mean (particle diameter [um]),0.41,0.56,0.83,1.15,1.50,2.00,2.65,3.50,4.60,5.85,7.25,9.00,11.00,13.00,15.00,17.00,19.00,21.00,23.50,26.50,29.50,32.50,35.50,38.50
Vol of a particle in bin (um3),0.0348,0.0920,0.2994,0.7963,1.7671,4.1888,9.7440,22.4493,50.9650,104.8253,199.5320,381.7035,696.9100,1150.3465,1767.1459,2572.4408,3591.3640,4849.0483,6795.1995,9743.9769,13442.0241,17974.1642,23425.2202,29880.0150
Weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43578.7229280556,2.008,0.602,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,0.00,3.012,4.98,5.11,26.8,34.6,1,0,18,1,0,609,0.04,0.05,0.05,0.04,0.05,0.05
43578.7230437963,3.407,1.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,4.609,4.99,5.29,26.9,34.7,0,0,12,3,0,610,0.04,0.04,2.61,0.04,0.04,1.33
43578.723159537,3.808,0.200,0.200,0.200,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,12.00,0.00,0.00,4.810,4.99,5.18,27.0,35.0,0,0,18,1,0,608,0.05,0.34,2.10,0.04,0.14,1.59
43578.7232752778,3.407,0.802,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,4.810,4.99,5.25,27.1,34.4,0,0,16,5,0,609,0.05,0.12,3.15,0.04,0.14,1.98
43578.7233910185,4.810,0.401,0.000,0.000,0.000,0.200,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,10.00,12.00,5.812,4.99,5.22,27.2,34.2,4,0,27,3,0,608,0.04,0.42,2.64,0.04,0.19,2.11
43578.7235067593,3.006,0.200,0.000,0.000,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.33,0.00,0.00,0.00,3.607,4.99,5.13,27.3,34.0,2,0,35,2,0,609,0.03,0.30,2.08,0.04,0.21,2.10
43578.7236225,4.008,0.200,0.200,0.200,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,6.67,9.00,0.00,0.00,5.411,4.99,5.24,27.5,33.9,0,0,18,4,0,608,0.05,0.34,13.48,0.04,0.23,3.73
43578.7237382407,3.206,0.802,0.200,0.000,0.000,0.401,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,12.00,0.00,5.010,4.99,5.28,27.6,33.6,3,0,17,1,0,609,0.05,0.37,8.25,0.04,0.25,4.29
43578.7238539815,4.008,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.33,0.00,0.00,0.00,4.609,4.99,4.95,27.6,33.4,1,0,28,1,0,608,0.03,0.04,7.39,0.04,0.22,4.64
43578.7239697222,3.006,0.601,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,4.208,4.99,5.00,27.8,33.2,1,0,467,3,0,609,0.04,0.25,9.06,0.04,0.22,5.08
43578.724085463,2.806,0.200,0.000,0.000,0.200,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,0.00,10.00,0.00,3.607,4.99,5.04,27.8,34.8,3,0,1225,4,0,609,0.04,0.35,0.61,0.04,0.24,4.67
43578.7242012037,3.206,0.200,0.401,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,0.00,0.00,14.67,4.008,4.99,5.08,28.0,34.8,4,0,2103,5,0,609,0.04,0.21,0.85,0.04,0.23,4.36
43578.7243169444,3.206,0.000,0.401,0.000,0.000,0.000,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,4.208,4.99,5.08,28.0,33.1,2,1,2056,3,0,608,0.05,0.52,1.11,0.04,0.26,4.11
