date,Bin0,Bin1,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin2,Bin20,Bin21,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin22,Bin23,OPCHum,OPCTemp,OPCTsam,OPCVol,Particulate_Matter_1,Particulate_Matter_10,Particulate_Matter_25
2019-04-23T15:21:00Z,0.625,0.09375,0,0,0,0,0.03125,0,0,0,0,0,0.0625,0,0,0,0.03125,0,0,0.03125,0.03125,0,0,0,15.878,29.407,245,125.859375,0.03125,6.9375,0.3125
2019-04-23T15:22:00Z,0.625,0.09375,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.03125,0,0.03125,0,0.03125,0,0,0,0,15.901,29.41,245,126.0625,0.0625,7.375,0.28125
2019-04-23T15:23:00Z,0.46875,0.09375,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.03125,0.03125,0.03125,0,0,0.03125,0,0,15.883,29.417,245,129.03125,0.0625,2.53125,0.375
2019-04-23T15:24:00Z,0.625,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.03125,0,0,0.03125,0,0,0,15.819,29.419,245,129.109375,0.03125,2.90625,0.1875
2019-04-23T15:25:00Z,0.71875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.03125,0,0.03125,0.03125,0,0.03125,0,0,15.832,29.424,245,129.78125,0.0625,6.40625,0.34375
2019-04-23T15:26:00Z,0.625,0.125,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.03125,0.03125,0.0625,0.03125,0,0.03125,0,0,0,15.844,29.423,245,123.875,0.0625,10.28125,0.5625
2019-04-23T15:27:00Z,0.59375,0.125,0.03125,0,0,0,0,0,0,0,0,0,0.09375,0,0,0.03125,0,0.03125,0.0625,0,0,0,0,0,15.788,29.431,245,115.21875,0.0625,5.375,0.46875
2019-04-23T15:28:00Z,0.71875,0.125,0,0,0,0,0.03125,0,0.03125,0,0,0,0.0625,0,0,0,0.03125,0.03125,0,0,0,0.03125,0,0,15.793,29.436,245,121.84375,0.0625,9.21875,0.1875
2019-04-23T15:29:00Z,0.65625,0.09375,0,0,0.03125,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.03125,0.03125,0,0,0,0,0,15.805,29.44,245,124.75,0.03125,6.375,0.28125
2019-04-23T15:30:00Z,0.8125,0.15625,0,0,0,0.03125,0,0,0,0,0,0,0.125,0,0,0.0625,0.03125,0,0,0,0.03125,0,0,0,15.76,29.442,245,117.46875,0.09375,7.4375,0.34375
2019-04-23T15:31:00Z,0.84375,0.125,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,15.765,29.447,245,118.359375,0.03125,5.03125,0.125
2019-04-23T15:32:00Z,0.75,0.0625,0,0,0,0,0,0.03125,0,0,0,0,0.03125,0,0,0,0.03125,0,0.03125,0.03125,0,0,0,0,15.794,29.448,245,119.78125,0.03125,13.84375,0.375
2019-04-23T15:33:00Z,0.6875,0.15625,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.03125,0.0625,0.03125,0.03125,0,0,0,0,15.7805,29.4505,245,117.6640625,0.0625,5,0.375
