TimeBeginning,TimeEnding,1028100_PM10_21_PreScaled,1028100_PM10_21_Scaled,1028100_PM10_21_Unit,1028100_PM10_21_Slope,1028100_PM10_21_Offset,1028100_PM10_21_Status,1028100_PM2.5_23_PreScaled,1028100_PM2.5_23_Scaled,1028100_PM2.5_23_Unit,1028100_PM2.5_23_Slope,1028100_PM2.5_23_Offset,1028100_PM2.5_23_Status
17/01/2018 08:00,17/01/2018 08:15,,,ug/m3,1,0,No Data,,,ug/m3,1,0,No Data
17/01/2018 08:15,17/01/2018 08:30,,,ug/m3,1,0,No Data,,,ug/m3,1,0,No Data
17/01/2018 08:30,17/01/2018 08:45,,,ug/m3,1,0,No Data,,,ug/m3,1,0,No Data
17/01/2018 08:45,17/01/2018 09:00,,,ug/m3,1,0,No Data,,,ug/m3,1,0,No Data
17/01/2018 09:00,17/01/2018 09:15,,,ug/m3,1,0,No Data,,,ug/m3,1,0,No Data
17/01/2018 09:15,17/01/2018 09:30,0.005,0.005,ug/m3,1,0,Valid,0.004,0.004,ug/m3,1,0,Valid
17/01/2018 09:30,17/01/2018 09:45,8.836,8.836,ug/m3,1,0,Valid,5.221,5.221,ug/m3,1,0,Valid
17/01/2018 09:45,17/01/2018 10:00,10.58,10.58,ug/m3,1,0,Valid,5.811,5.811,ug/m3,1,0,Valid
17/01/2018 10:00,17/01/2018 10:15,6.955,6.955,ug/m3,1,0,Valid,4.932,4.932,ug/m3,1,0,Valid
17/01/2018 10:15,17/01/2018 10:30,9.789,9.789,ug/m3,1,0,Valid,6.684,6.684,ug/m3,1,0,Valid
17/01/2018 10:30,17/01/2018 10:45,8.235,8.235,ug/m3,1,0,Valid,5.203,5.203,ug/m3,1,0,Valid
17/01/2018 10:45,17/01/2018 11:00,6.239,6.239,ug/m3,1,0,Valid,3.554,3.554,ug/m3,1,0,Valid
17/01/2018 11:00,17/01/2018 11:15,4.026,4.026,ug/m3,1,0,Valid,1.701,1.701,ug/m3,1,0,Valid
17/01/2018 11:15,17/01/2018 11:30,1.935,1.935,ug/m3,1,0,Valid,0.404,0.404,ug/m3,1,0,Valid
17/01/2018 11:30,17/01/2018 11:45,1.756,1.756,ug/m3,1,0,Valid,0.383,0.383,ug/m3,1,0,Valid
17/01/2018 11:45,17/01/2018 12:00,1.876,1.876,ug/m3,1,0,Valid,0.345,0.345,ug/m3,1,0,Valid
17/01/2018 12:00,17/01/2018 12:15,2.391,2.391,ug/m3,1,0,Valid,0.351,0.351,ug/m3,1,0,Valid
17/01/2018 12:15,17/01/2018 12:30,3.35,3.35,ug/m3,1,0,Valid,0.423,0.423,ug/m3,1,0,Valid
17/01/2018 12:30,17/01/2018 12:45,4.286,4.286,ug/m3,1,0,Valid,0.573,0.573,ug/m3,1,0,Valid
17/01/2018 12:45,17/01/2018 13:00,4.093,4.093,ug/m3,1,0,Valid,0.553,0.553,ug/m3,1,0,Valid
17/01/2018 13:00,17/01/2018 13:15,1.05,1.05,ug/m3,1,0,Valid,0.308,0.308,ug/m3,1,0,Valid
17/01/2018 13:15,17/01/2018 13:30,82.96,82.96,ug/m3,1,0,Valid,27.38,27.38,ug/m3,1,0,Valid
17/01/2018 13:30,17/01/2018 13:45,5.626,5.626,ug/m3,1,0,Valid,0.639,0.639,ug/m3,1,0,Valid
17/01/2018 13:45,17/01/2018 14:00,5.58,5.58,ug/m3,1,0,Valid,0.648,0.648,ug/m3,1,0,Valid
