Software ver: OPC-N3 Alphasense 1.0.6457.18465
Device SerNo,OPC-N3 177470014                                            
InfoString,OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
Laser digital pot setting,172
Fan digital pot setting,255
ToF to SFR factor,58
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin23 (upper boundary)
Bin low boundary (ADC o/p),14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Bin low boundary (particle diameter [um]),0.35,0.46,0.66,1.00,1.30,1.70,2.30,3.00,4.00,5.20,6.50,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,25.00,28.00,31.00,34.00,37.00,40.00
Bin mean (particle diameter [um]),0.41,0.56,0.83,1.15,1.50,2.00,2.65,3.50,4.60,5.85,7.25,9.00,11.00,13.00,15.00,17.00,19.00,21.00,23.50,26.50,29.50,32.50,35.50,38.50
Vol of a particle in bin (um3),0.0348,0.0920,0.2994,0.7963,1.7671,4.1888,9.7440,22.4493,50.9650,104.8253,199.5320,381.7035,696.9100,1150.3465,1767.1459,2572.4408,3591.3640,4849.0483,6795.1995,9743.9769,13442.0241,17974.1642,23425.2202,29880.0150
Weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43559.7011895949,7.316,0.655,0.164,0.018,0.018,0.073,0.018,0.018,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,11.00,11.33,12.33,8.298,54.95,5.84,27.8,29.3,34,0,260,15,0,620,0.06,0.13,0.88,0.06,0.13,0.88
43559.7018840394,7.603,1.100,0.133,0.067,0.100,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.33,12.00,0.00,9.070,29.99,5.50,28.5,28.3,17,0,147,11,0,621,0.08,0.15,0.19,0.07,0.14,0.53
43559.7025784838,8.570,0.967,0.200,0.033,0.100,0.067,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,13.33,11.00,17.33,10.037,29.99,5.61,28.9,28.1,17,0,148,8,0,621,0.08,0.19,1.50,0.07,0.16,0.86
43559.7032729282,8.369,0.500,0.167,0.067,0.000,0.033,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,8.33,14.67,0.00,9.203,29.99,5.56,29.1,27.4,17,0,137,5,0,621,0.07,0.14,0.21,0.07,0.15,0.69
43559.7039673727,7.503,0.567,0.167,0.033,0.033,0.033,0.067,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,9.33,11.00,0.00,8.436,29.99,5.33,29.3,27.1,19,1,158,5,0,622,0.07,0.17,0.49,0.07,0.16,0.65
43559.7046618171,7.169,0.734,0.133,0.000,0.033,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,0.00,10.00,13.67,8.169,29.99,5.23,29.5,26.6,12,0,122,15,0,621,0.07,0.12,1.60,0.07,0.15,0.80
43559.7053562616,8.536,0.634,0.400,0.033,0.067,0.000,0.133,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.67,0.00,12.33,9.837,29.99,5.16,29.7,26.3,12,0,119,8,0,621,0.09,0.24,0.48,0.07,0.17,0.86
43559.706050706,8.469,0.700,0.100,0.067,0.067,0.067,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.33,12.00,0.00,9.570,29.99,5.11,29.8,26.1,23,0,157,14,0,621,0.08,0.17,2.37,0.07,0.17,1.03
43559.7067451505,10.737,0.900,0.167,0.167,0.133,0.133,0.067,0.067,0.033,0.000,0.033,0.033,0.033,0.000,0.033,0.033,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.67,11.33,13.00,14.33,12.638,29.99,5.07,29.9,26.0,24,0,261,25,0,621,0.11,0.37,8.09,0.08,0.21,2.61
43559.7074395949,7.102,0.834,0.100,0.067,0.067,0.033,0.067,0.067,0.000,0.000,0.067,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,8.67,11.33,15.00,8.436,29.99,5.04,30.0,26.1,15,1,152,7,0,622,0.07,0.23,3.42,0.09,0.23,3.19
43559.7081340393,7.369,0.800,0.300,0.033,0.067,0.133,0.133,0.067,0.033,0.100,0.100,0.000,0.033,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,8.33,14.00,14.67,9.236,29.99,5.02,30.1,25.8,15,1,265,29,0,622,0.09,0.41,9.36,0.09,0.28,4.75
43559.7088284838,7.536,0.700,0.233,0.067,0.033,0.000,0.067,0.033,0.133,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.033,0.000,0.000,0.033,8.67,9.00,0.00,15.67,8.970,29.99,5.01,30.1,26.0,23,0,209,13,0,622,0.08,0.27,3.89,0.09,0.29,5.43
43559.7095229282,8.203,0.500,0.267,0.100,0.133,0.100,0.000,0.033,0.033,0.033,0.000,0.067,0.000,0.000,0.067,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.33,11.33,11.33,11.67,9.570,29.99,5.08,30.2,25.7,17,0,183,14,0,622,0.09,0.25,6.57,0.09,0.30,6.27
43559.7102173727,8.136,0.800,0.267,0.100,0.033,0.067,0.000,0.000,0.000,0.000,0.067,0.000,0.033,0.033,0.100,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.67,9.00,13.33,0.00,9.670,29.99,5.05,30.2,26.0,20,1,209,13,0,621,0.09,0.15,9.05,0.08,0.26,6.46
43559.7109118171,9.036,1.067,0.300,0.033,0.033,0.000,0.100,0.000,0.067,0.000,0.000,0.033,0.033,0.000,0.100,0.000,0.000,0.033,0.000,0.000,0.000,0.033,0.000,0.000,8.33,14.33,0.00,0.00,10.870,29.99,5.16,30.2,25.7,14,0,210,16,0,621,0.09,0.23,7.99,0.09,0.26,7.37
43559.7116062616,8.770,0.634,0.233,0.033,0.067,0.033,0.000,0.067,0.033,0.033,0.000,0.000,0.000,0.067,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.00,12.00,11.67,10.003,29.99,5.11,30.3,25.6,27,0,185,18,0,621,0.08,0.21,4.90,0.09,0.22,6.48
43559.712300706,8.036,0.934,0.200,0.033,0.133,0.033,0.000,0.033,0.033,0.033,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.33,10.00,11.00,12.33,9.570,29.99,5.19,30.3,25.5,16,0,212,13,0,621,0.08,0.20,3.41,0.09,0.21,6.38
43559.7129951505,9.737,0.534,0.233,0.000,0.100,0.033,0.067,0.000,0.033,0.000,0.033,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,0.00,11.00,0.00,10.837,29.99,5.15,30.3,25.7,27,0,165,10,0,622,0.09,0.21,3.42,0.09,0.20,5.75
43559.7136895949,7.302,0.667,0.433,0.067,0.100,0.100,0.033,0.000,0.000,0.000,0.033,0.033,0.033,0.000,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.33,12.00,0.00,8.870,29.99,5.10,30.4,25.3,13,0,200,20,0,621,0.09,0.21,5.44,0.09,0.21,5.03
43559.7143840394,8.603,0.667,0.033,0.067,0.167,0.000,0.067,0.100,0.000,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,8.33,0.00,17.33,9.803,29.99,4.97,30.4,25.4,20,0,177,11,0,621,0.08,0.28,4.29,0.09,0.22,4.29
43559.7150784838,8.770,0.467,0.200,0.067,0.033,0.067,0.067,0.033,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,8.33,12.00,17.67,9.770,29.99,4.97,30.4,25.2,20,0,183,14,0,622,0.08,0.23,2.40,0.09,0.23,3.79
43559.7157729282,8.469,0.900,0.233,0.000,0.033,0.067,0.067,0.033,0.033,0.067,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.67,0.00,18.67,14.67,10.003,29.99,4.97,30.4,25.3,23,0,194,12,0,621,0.09,0.26,4.55,0.09,0.24,4.02
43559.7164673727,9.203,0.734,0.233,0.067,0.067,0.033,0.000,0.033,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.33,8.67,10.33,12.00,10.437,29.99,4.77,30.4,25.3,20,0,180,11,0,622,0.10,0.21,1.17,0.09,0.24,3.57
43559.7171618171,8.803,0.600,0.100,0.000,0.067,0.033,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,8.67,0.00,10.00,13.00,9.770,29.99,4.82,30.4,25.1,18,0,162,13,0,622,0.08,0.16,3.28,0.09,0.23,3.14
43559.7178562616,8.303,0.800,0.133,0.033,0.067,0.067,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,9.00,11.67,12.67,9.470,29.99,5.08,30.5,25.1,27,0,159,9,0,622,0.08,0.17,1.16,0.09,0.21,2.51
43559.718550706,8.636,0.834,0.167,0.000,0.133,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,9.870,29.99,5.16,30.5,24.8,20,0,216,8,0,622,0.08,0.14,3.18,0.09,0.19,2.67
43559.7192451505,7.636,0.667,0.033,0.033,0.067,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,9.00,0.00,0.00,8.536,29.99,5.32,30.5,25.0,20,0,156,13,0,622,0.07,0.11,2.60,0.08,0.16,2.28
43559.7199395949,9.436,0.600,0.133,0.067,0.033,0.067,0.000,0.067,0.000,0.033,0.033,0.000,0.000,0.033,0.000,0.100,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,8.67,11.33,15.00,13.00,10.670,29.99,5.24,30.5,24.9,15,0,215,20,0,621,0.08,0.20,7.76,0.08,0.16,3.60
43559.7206340394,8.670,0.700,0.000,0.067,0.033,0.033,0.067,0.033,0.033,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,10.33,12.33,11.67,9.737,29.99,5.27,30.5,24.9,23,0,184,13,0,621,0.07,0.23,2.17,0.08,0.17,3.37
43559.7213284838,9.203,0.600,0.100,0.200,0.033,0.100,0.033,0.000,0.033,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,10.67,11.67,0.00,10.370,29.99,5.30,30.5,24.7,28,0,200,15,0,621,0.09,0.23,1.54,0.08,0.18,3.45
43559.7220229282,8.469,0.667,0.200,0.067,0.067,0.033,0.100,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,10.00,9.67,0.00,9.737,29.99,5.21,30.5,24.7,31,1,198,14,0,621,0.08,0.22,3.84,0.08,0.20,3.58
43559.7227173727,10.137,0.967,0.167,0.033,0.200,0.033,0.067,0.000,0.000,0.000,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,8.67,11.67,0.00,11.704,29.99,5.27,30.5,24.7,21,0,181,16,0,621,0.10,0.22,3.86,0.09,0.22,3.83
43559.7234118171,8.970,0.767,0.167,0.000,0.000,0.033,0.100,0.033,0.033,0.033,0.000,0.000,0.067,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,0.00,10.00,11.67,10.237,29.99,5.18,30.5,24.8,29,0,207,13,0,621,0.08,0.23,5.24,0.09,0.23,3.33
43559.7241062616,8.636,0.734,0.133,0.067,0.167,0.067,0.000,0.000,0.100,0.033,0.000,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,13.67,10.67,0.00,10.003,29.99,5.02,30.5,24.7,24,0,187,6,0,621,0.09,0.25,4.33,0.09,0.23,3.76
43559.724800706,8.903,0.800,0.200,0.100,0.100,0.167,0.033,0.000,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,8.33,11.00,13.00,0.00,10.437,29.99,5.12,30.5,24.8,22,0,177,13,0,621,0.10,0.28,2.87,0.09,0.24,4.03
43559.7254951505,8.603,0.667,0.367,0.033,0.033,0.067,0.000,0.067,0.033,0.000,0.067,0.067,0.067,0.000,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,8.33,10.67,16.00,10.137,29.99,5.18,30.5,24.6,22,0,203,14,0,621,0.09,0.22,9.78,0.09,0.24,5.22
43559.7261895949,9.103,1.100,0.300,0.033,0.100,0.100,0.000,0.033,0.000,0.033,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,8.33,11.00,14.67,10.870,29.99,5.40,30.6,24.6,21,0,171,7,0,621,0.10,0.21,3.07,0.09,0.24,5.06
43559.7268840394,9.470,1.000,0.167,0.033,0.133,0.133,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,9.67,15.00,0.00,11.070,29.99,5.39,30.6,24.5,23,0,170,13,0,621,0.09,0.24,2.72,0.09,0.24,4.55
43559.728261713,9.613,0.672,0.286,0.084,0.050,0.067,0.017,0.017,0.000,0.000,0.034,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,8.00,9.67,13.33,11.67,10.874,59.50,5.56,30.6,24.5,44,0,385,21,0,621,0.09,0.17,1.78,0.09,0.22,4.04
43559.7289561574,10.504,0.867,0.167,0.067,0.067,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.67,10.00,0.00,0.00,11.771,29.99,5.37,30.6,24.3,25,0,176,9,0,621,0.09,0.13,2.39,0.09,0.19,3.95
43559.7296506019,9.570,0.433,0.233,0.067,0.100,0.000,0.033,0.033,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,8.33,13.33,0.00,15.67,10.570,29.99,5.37,30.6,24.5,31,0,169,14,0,621,0.08,0.20,1.08,0.09,0.19,2.21
43559.7303450463,9.103,0.700,0.233,0.033,0.067,0.000,0.067,0.033,0.033,0.000,0.033,0.000,0.100,0.067,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,9.00,0.00,13.00,10.504,29.99,5.38,30.7,24.3,24,1,214,12,0,621,0.08,0.20,9.30,0.09,0.19,3.45
43559.7310394907,10.837,0.867,0.200,0.067,0.100,0.100,0.067,0.000,0.000,0.033,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,8.00,8.67,12.00,0.00,12.371,29.99,5.51,30.7,24.4,31,0,213,17,0,621,0.10,0.24,2.89,0.09,0.19,3.49
43559.7317339352,9.136,0.734,0.367,0.000,0.133,0.100,0.200,0.033,0.000,0.033,0.000,0.033,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,9.00,0.00,10.67,17.67,10.870,29.99,5.24,30.7,24.5,22,0,273,26,0,621,0.10,0.37,5.09,0.09,0.23,4.15
43559.7324283796,10.970,0.567,0.167,0.067,0.033,0.067,0.033,0.067,0.067,0.000,0.000,0.033,0.100,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,9.00,11.67,12.67,12.304,29.99,5.37,30.7,24.5,27,1,257,12,0,621,0.09,0.25,11.25,0.09,0.25,5.92
43559.7331228241,8.836,1.000,0.267,0.033,0.067,0.100,0.133,0.033,0.067,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.00,8.67,14.00,16.67,10.570,29.99,5.09,30.6,24.4,18,0,218,21,0,621,0.10,0.34,2.33,0.09,0.28,6.17
43559.7338172685,8.369,0.700,0.133,0.033,0.033,0.100,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.33,13.00,0.00,9.503,29.99,5.06,30.7,24.4,16,0,175,20,0,621,0.08,0.17,3.30,0.09,0.28,4.97
43559.734511713,8.269,0.667,0.300,0.100,0.100,0.100,0.033,0.000,0.100,0.067,0.000,0.000,0.000,0.067,0.000,0.033,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,8.67,11.00,16.67,0.00,9.870,29.99,5.04,30.7,24.2,17,0,211,8,0,621,0.09,0.29,6.61,0.09,0.29,5.72
43559.7352061574,7.903,0.600,0.100,0.100,0.067,0.033,0.133,0.033,0.000,0.000,0.000,0.033,0.067,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,8.67,11.67,11.00,13.67,9.136,29.99,5.02,30.7,24.2,28,0,176,15,0,621,0.08,0.26,6.05,0.09,0.26,5.91
43559.7359006019,7.436,0.567,0.233,0.000,0.000,0.000,0.000,0.000,0.200,0.033,0.033,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.033,0.000,0.000,0.033,0.000,0.000,8.00,0.00,0.00,0.00,8.636,29.99,5.19,30.7,24.2,18,1,178,13,0,621,0.07,0.20,5.77,0.08,0.25,4.81
43559.7365950463,7.736,0.433,0.100,0.000,0.133,0.100,0.100,0.000,0.000,0.033,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,12.00,0.00,8.670,29.99,5.29,30.7,24.2,14,1,180,13,0,621,0.07,0.24,2.01,0.08,0.23,4.75
43559.7372894907,6.802,0.600,0.000,0.033,0.000,0.067,0.000,0.033,0.067,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,9.00,10.00,10.00,13.00,7.669,29.99,5.12,30.7,24.1,18,0,175,10,0,621,0.06,0.16,2.38,0.07,0.23,4.56
43559.7379839352,8.236,0.500,0.233,0.000,0.033,0.033,0.100,0.100,0.033,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,16.00,13.33,9.303,29.99,5.17,30.7,24.1,19,0,151,10,0,621,0.08,0.28,2.35,0.07,0.23,3.71
43559.7386783796,7.669,0.500,0.200,0.067,0.100,0.033,0.067,0.033,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,11.33,24.67,11.67,8.770,29.99,5.30,30.7,24.0,15,0,164,17,0,621,0.07,0.23,1.90,0.07,0.22,2.88
43559.7393728241,6.435,0.367,0.133,0.000,0.000,0.133,0.033,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,16.00,17.33,7.136,29.99,5.37,30.7,24.0,14,0,126,10,0,621,0.06,0.17,0.33,0.07,0.22,1.80
43559.7400672685,7.402,0.400,0.167,0.100,0.067,0.067,0.100,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,12.33,12.67,0.00,8.336,29.99,5.30,30.7,24.0,25,0,145,12,0,621,0.07,0.23,0.59,0.07,0.22,1.51
